Property Name	Ala	Arg	Asn	Asp	Cys	Gln	Glu	Gly	His	Ile	Leu	Lys	Met	Phe	Pro	Ser	Thr	Trp	Tyr	Val
Alpha-helical tendencies	1.42	0.98	0.67	1.01	0.7	1.11	1.51	0.57	1	1.08	1.21	1.16	1.45	1.13	0.57	0.77	0.83	1.08	0.69	1.06
Average number of surrounding residues	6.05	5.7	5.04	4.95	7.86	5.45	5.1	6.16	5.8	7.51	7.37	4.88	6.39	6.62	5.65	5.53	5.81	6.98	6.73	7.62
Beta-structure tendencies	0.83	0.93	0.89	0.54	1.19	1.1	0.37	0.75	0.87	1.6	1.3	0.74	1.05	1.38	0.55	0.75	1.19	1.37	1.47	1.7
Bulkiness	11.5	14.28	12.82	11.68	13.46	14.45	13.57	3.4	13.67	21.4	21.4	15.71	16.25	19.8	17.43	9.47	15.77	21.61	18.03	21.57
Buriedness	0.38	0.07	0.15	0.14	0.57	0.11	0.09	0.38	0.31	0.56	0.5	0.04	0.42	0.51	0.18	0.23	0.23	0.4	0.26	0.48
Chromatographic index	9.9	4.6	5.4	2.8	2.8	9	3.2	5.6	8.2	17.1	17.6	3.5	14.7	18.8	14.8	6.9	9.5	17	15	14.3
Coil tendencies	0.71	1.07	1.37	1.21	1.19	0.87	0.84	1.52	1.07	0.66	0.69	0.99	0.59	0.71	1.61	1.34	1.08	0.76	1.07	0.63
Composition	0	0.65	1.33	1.38	2.75	0.89	0.92	0.74	0.58	0	0	0.33	0	0	0.39	1.42	0.71	0.13	0.2	0
Compressibility	-25.5	-26.62	-30.9	-33.12	-32.82	-32.6	-36.17	-27	-31.84	-31.78	-31.78	-32.4	-31.18	-34.54	-23.25	-29.88	-31.23	-30.24	-35.01	-30.62
Equilibrium constant (ionization of COOH)	2.34	1.81	2.02	2.01	1.65	2.17	2.19	2.34	1.82	1.36	2.36	2.18	2.28	1.89	1.99	2.21	2.1	2.38	2.2	2.32
Helical contact area	20	55	28	26	25	36	33	13	37	39	35	46	43	46	22	20	28	61	46	33
Hydropathy	1.8	-4.5	-3.5	-3.5	2.5	-3.5	-3.5	-0.4	-3.2	4.5	3.8	-3.9	1.9	2.8	-1.6	-0.8	-0.7	-0.9	-1.3	4.2
Isoelectric point	6	10.76	5.41	2.77	5.05	5.65	3.22	5.97	7.59	6.02	5.98	9.74	5.74	5.48	6.3	5.68	5.66	5.89	5.66	5.96
Long-range non-bonded energy	0.49	0.55	0.38	0.35	0.67	0.4	0.37	0.53	0.54	0.76	0.65	0.3	0.65	0.72	0.46	0.45	0.52	0.83	0.65	0.73
Mean r.m.s. fluctuation displacement	0.96	1.05	1.04	1.14	0.87	1.07	1.07	1.16	0.8	0.76	0.79	1.14	0.78	0.69	1.16	1.13	0.96	0.77	1.01	0.79
Molecular volume	31	124	56	54	55	85	83	3	96	111	111	119	105	132	32.5	32	61	170	136	84
Molecular weight	89	174	132	133	121	146	147	75	155	131	131	146	149	165	115	105	119	204	181	117
Normalized consensus hydrophobicity	0.62	-2.53	-0.78	0.9	0.29	-0.85	-0.74	0.48	-0.4	1.38	1.06	-1.5	0.64	1.19	0.12	-0.18	-0.05	0.81	0.26	1.08
Partial specific volume	60.46	127.34	78.01	73.83	67.6	93.9	85.88	43.25	98.79	107.72	107.75	108.5	105.35	121.48	82.83	60.62	76.83	143.91	123.6	90.78
Polar requirement	7	9.1	10	13	5.5	8.6	12.5	7.9	8.4	4.9	4.9	10.1	5.3	5	6.6	7.5	6.6	5.3	5.7	5.6
Polarity	8.1	10.5	11.6	13	5.5	10.5	12.3	9	10.4	5.2	4.9	11.3	5.7	5.2	8	9.2	8.6	5.4	6.2	5.9
Power to be at the C-terminal	1.44	0.39	0.93	2.13	0.76	1.2	2.01	0.62	0.56	0.68	0.58	0.59	0.73	1.01	2.19	0.81	1.25	1.4	0.72	0.63
Power to be at the middle of alpha-helix	1.22	1.59	0.93	0.56	1.53	1.63	1.28	0.4	2.23	0.77	1.05	1.65	1.47	1.13	0	0.87	0.46	0.46	0.52	1.2
Power to be at the N-terminal	1.59	0.67	0.53	0.53	0.33	0.98	1.45	0.53	0.89	1.22	1.91	1.13	1.25	1.14	0	0.7	0.75	1.33	0.58	1.42
Refractive index	14.34	26.66	13.28	12	35.77	17.56	17.26	0	21.81	19.06	18.78	21.29	21.64	29.4	10.93	6.35	11.01	42.53	31.55	13.92
Short and medium range non-bonded energy	1.4	0.92	1.18	1.16	1.37	1.12	1.16	1.36	1.22	1.19	1.32	1.07	1.3	1.14	1.24	1.3	1.25	1.03	1.03	1.25
Solvent accessible reduction ratio	3.7	2.53	2.12	2.6	3.03	2.7	3.3	3.13	3.57	7.69	5.88	1.79	5.21	6.6	2.12	2.43	2.6	6.25	3.03	7.14
Surrounding hydrophobicity	13.05	12.4	11.72	11.1	14.3	11.78	11.41	12.2	12.42	15.34	14.19	11.01	13.62	13.89	11.06	11.68	12.12	13.96	13.57	14.73
Thermodynamic transfer hydrohphobicity	0.87	0.85	0.09	0.66	1.52	0	0.67	0.1	0.87	3.15	2.17	1.64	1.67	2.87	2.77	0.07	0.07	3.77	2.67	1.87
Total non-bonded energy	1.9	1.48	1.56	1.52	2.04	1.52	1.54	1.9	1.76	1.95	1.97	1.37	1.96	1.86	1.7	1.75	1.77	1.87	1.69	1.98
Turn tendencies	0.66	0.95	1.56	1.46	1.19	0.98	0.74	1.56	0.95	0.47	0.59	1.01	0.6	0.6	1.52	1.43	0.96	0.96	1.14	0.5
